entrez,symbol,term_id,term_name,source
27299,ADAMDEC1,CXXX,No diseases associated,PSYGENET
9510,ADAMTS1,CXXX,No diseases associated,PSYGENET
9509,ADAMTS2,CXXX,No diseases associated,PSYGENET
9508,ADAMTS3,CXXX,No diseases associated,PSYGENET
9507,ADAMTS4,CXXX,No diseases associated,PSYGENET
11096,ADAMTS5,CXXX,No diseases associated,PSYGENET
11174,ADAMTS6,CXXX,No diseases associated,PSYGENET
11173,ADAMTS7,CXXX,No diseases associated,PSYGENET
11095,ADAMTS8,CXXX,No diseases associated,PSYGENET
56999,ADAMTS9,CXXX,No diseases associated,PSYGENET
81794,ADAMTS10,CXXX,No diseases associated,PSYGENET
11093,ADAMTS13,CXXX,No diseases associated,PSYGENET
140766,ADAMTS14,CXXX,No diseases associated,PSYGENET
170689,ADAMTS15,CXXX,No diseases associated,PSYGENET
170690,ADAMTS16,CXXX,No diseases associated,PSYGENET
170691,ADAMTS17,CXXX,No diseases associated,PSYGENET
170692,ADAMTS18,CXXX,No diseases associated,PSYGENET
171019,ADAMTS19,CXXX,No diseases associated,PSYGENET
80070,ADAMTS20,CXXX,No diseases associated,PSYGENET
92949,ADAMTSL1,CXXX,No diseases associated,PSYGENET
9719,ADAMTSL2,CXXX,No diseases associated,PSYGENET
54507,ADAMTSL4,CXXX,No diseases associated,PSYGENET
339366,ADAMTSL5,CXXX,No diseases associated,PSYGENET
11033,ADAP1,CXXX,No diseases associated,PSYGENET
55803,ADAP2,CXXX,No diseases associated,PSYGENET
103,ADAR,CXXX,No diseases associated,PSYGENET
105,ADARB2,CXXX,No diseases associated,PSYGENET
23536,ADAT1,CXXX,No diseases associated,PSYGENET
134637,ADAT2,CXXX,No diseases associated,PSYGENET
113179,ADAT3,CXXX,No diseases associated,PSYGENET
57143,ADCK1,CXXX,No diseases associated,PSYGENET
90956,ADCK2,CXXX,No diseases associated,PSYGENET
203054,ADCK5,CXXX,No diseases associated,PSYGENET
107,ADCY1,CXXX,No diseases associated,PSYGENET
196883,ADCY4,CXXX,No diseases associated,PSYGENET
112,ADCY6,CXXX,No diseases associated,PSYGENET
115,ADCY9,CXXX,No diseases associated,PSYGENET
55811,ADCY10,CXXX,No diseases associated,PSYGENET
118,ADD1,CXXX,No diseases associated,PSYGENET
119,ADD2,CXXX,No diseases associated,PSYGENET
120,ADD3,CXXX,No diseases associated,PSYGENET
79747,ADGB,CXXX,No diseases associated,PSYGENET
84435,ADGRA1,CXXX,No diseases associated,PSYGENET
25960,ADGRA2,CXXX,No diseases associated,PSYGENET
166647,ADGRA3,CXXX,No diseases associated,PSYGENET
575,ADGRB1,CXXX,No diseases associated,PSYGENET
576,ADGRB2,CXXX,No diseases associated,PSYGENET
577,ADGRB3,CXXX,No diseases associated,PSYGENET
283383,ADGRD1,CXXX,No diseases associated,PSYGENET
347088,ADGRD2,CXXX,No diseases associated,PSYGENET
2015,ADGRE1,CXXX,No diseases associated,PSYGENET
30817,ADGRE2,CXXX,No diseases associated,PSYGENET
84658,ADGRE3,CXXX,No diseases associated,PSYGENET
976,ADGRE5,CXXX,No diseases associated,PSYGENET
