entrez,symbol,term_id,term_name,source
1316,KLF6,C0017638,Glioma,CGI
1316,KLF6,C0024623,Malignant neoplasm of stomach,CGI
1316,KLF6,C0153943,Benign neoplasm of stomach,CGI
1316,KLF6,C0154060,Carcinoma in situ of stomach,CGI
1316,KLF6,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
1316,KLF6,C0699791,Stomach Carcinoma,CGI
1387,CREBBP,C0023467,"Leukemia, Myelocytic, Acute",CGI
1387,CREBBP,C0024305,"Lymphoma, Non-Hodgkin",CGI
1387,CREBBP,C0079744,Diffuse Large B-Cell Lymphoma,CGI
1387,CREBBP,C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,CGI
1441,CSF3R,C0023418,leukemia,CGI
1441,CSF3R,C0023467,"Leukemia, Myelocytic, Acute",CGI
1441,CSF3R,C0023473,"Myeloid Leukemia, Chronic",CGI
1441,CSF3R,C0023481,Chronic Neutrophilic Leukemia,CGI
1441,CSF3R,C1292772,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",CGI
1499,CTNNB1,C0007103,Malignant neoplasm of endometrium,CGI
1499,CTNNB1,C0025149,Medulloblastoma,CGI
1499,CTNNB1,C0025202,melanoma,CGI
1499,CTNNB1,C0029925,Ovarian Carcinoma,CGI
1499,CTNNB1,C0079218,"Fibromatosis, Aggressive",CGI
1499,CTNNB1,C0151779,Cutaneous Melanoma,CGI
1499,CTNNB1,C0152013,Adenocarcinoma of lung (disorder),CGI
1499,CTNNB1,C0153633,Malignant neoplasm of brain,CGI
1499,CTNNB1,C0206624,Hepatoblastoma,CGI
1499,CTNNB1,C0206667,Adrenal Cortical Adenoma,CGI
1499,CTNNB1,C0262587,Parathyroid Adenoma,CGI
1499,CTNNB1,C0278701,Gastric Adenocarcinoma,CGI
1499,CTNNB1,C0279626,Squamous cell carcinoma of esophagus,CGI
1499,CTNNB1,C0346191,Carcinoma in situ of endometrium,CGI
1499,CTNNB1,C0476089,Endometrial Carcinoma,CGI
1499,CTNNB1,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
1499,CTNNB1,C0919267,ovarian neoplasm,CGI
1499,CTNNB1,C1140680,Malignant neoplasm of ovary,CGI
1499,CTNNB1,C1319315,Adenocarcinoma of large intestine,CGI
1499,CTNNB1,C2239176,Liver carcinoma,CGI
1523,CUX1,C0007103,Malignant neoplasm of endometrium,CGI
1523,CUX1,C0023467,"Leukemia, Myelocytic, Acute",CGI
1523,CUX1,C0025202,melanoma,CGI
