entrez,symbol,term_id,term_name,source
2108,ETFA,C0268596,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,CLINGEN
2109,ETFB,C0268596,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,CLINGEN
2110,ETFDH,C0268596,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,CLINGEN
2121,EVC,C0013903,Ellis-Van Creveld Syndrome,CLINGEN
2131,EXT1,C0015306,Hereditary Multiple Exostoses,CLINGEN
2132,EXT2,C1851413,"EXOSTOSES, MULTIPLE, TYPE II",CLINGEN
2138,EYA1,C0265234,Branchio-Oto-Renal Syndrome,CLINGEN
2153,F5,C1861171,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE (disorder),CLINGEN
2155,F7,C0015503,Factor VII Deficiency,CLINGEN
2157,F8,C0019069,Hemophilia A,CLINGEN
2158,F9,C0008533,Hemophilia B,CLINGEN
2159,F10,C0015519,Factor X Deficiency,CLINGEN
2159,F10,C0272327,Hereditary factor X deficiency disease,CLINGEN
2161,F12,C0015526,Factor XII Deficiency,CLINGEN
2161,F12,C1857728,Hereditary Angioedema Type III,CLINGEN
2175,FANCA,C1856796,Estren-Dameshek Variant of Fanconi Anemia,CLINGEN
2175,FANCA,C1856797,Estren-Dameshek Variant of Fanconi Pancytopenia,CLINGEN
2175,FANCA,C3469521,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",CLINGEN
2176,FANCC,C3468041,"FANCONI ANEMIA, COMPLEMENTATION GROUP C",CLINGEN
2182,ACSL4,C3501611,"Mental Retardation, X-Linked Nonsyndromic",CLINGEN
2184,FAH,C0268490,"Tyrosinemia, Type I",CLINGEN
2189,FANCG,C3469527,fanconi anemia complementation group g,CLINGEN
2200,FBN1,C0024796,Marfan Syndrome,CLINGEN
2200,FBN1,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
2201,FBN2,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
2245,FGD1,C0175701,Aarskog syndrome,CLINGEN
2248,FGF3,C1853144,"Deafness, Congenital, with Inner Ear Agenesis, Microtia, and Microdontia",CLINGEN
2261,FGFR3,C0001080,Achondroplasia,CLINGEN
2271,FH,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
2301,FOXE3,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
2316,FLNA,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
2318,FLNC,C1836050,"Filaminopathy, autosomal dominant",CLINGEN
2332,FMR1,C0016667,Fragile X Syndrome,CLINGEN
2334,AFF2,C0751157,FRAXE Syndrome,CLINGEN
2395,FXN,C0016719,Friedreich Ataxia,CLINGEN
2548,GAA,C0017921,Glycogen storage disease type II,CLINGEN
2548,GAA,C1968741,Glycogen Storage Disease IIIC,CLINGEN
2566,GABRG2,C0014544,Epilepsy,CLINGEN
2593,GAMT,C0574080,Guanidinoacetate methyltransferase deficiency,CLINGEN
2624,GATA2,C3280030,GATA2 Deficiency,CLINGEN
2625,GATA3,C1840333,Barakat syndrome,CLINGEN
